address,year,sub_area
"пр-кт. Мира, д. 2003",1801,муниципальный округ Богородское
"ул. Лосиноостровская, д. 12/14",1917,муниципальный округ Богородское
"ул. Миллионная, д. 15, к. 3",1926,муниципальный округ Богородское
"ул. Миллионная, д. 15, к. 1",1929,муниципальный округ Богородское
"ул. Миллионная, д. 15, к. 2",1931,муниципальный округ Богородское
"проезд. Подбельского 4-й, д. 6",1938,муниципальный округ Богородское
"проезд. Подбельского 6-й, д. 8",1939,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 8",1939,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 6",1939,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 4",1939,муниципальный округ Богородское
"проезд. Подбельского 6-й, д. 10а",1939,муниципальный округ Богородское
"проезд. Подбельского 6-й, д. 10",1939,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 8а",1939,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 6а",1939,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 10/6",1939,муниципальный округ Богородское
"ул. Ивантеевская, д. 2, к. 1",1949,муниципальный округ Богородское
"ул. Ивантеевская, д. 2, к. 3",1950,муниципальный округ Богородское
"ул. Ивантеевская, д. 2, к. 2",1950,муниципальный округ Богородское
"ул. Ивантеевская, д. 1, к. 1",1950,муниципальный округ Богородское
"ул. Ивантеевская, д. 7/20",1954,муниципальный округ Богородское
"ул. Ивантеевская, д. 13",1954,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 22, к. 3",1955,муниципальный округ Богородское
"ул. Мясниковская 1-я, д. 8/10",1955,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 22",1955,муниципальный округ Богородское
"ул. Бойцовая, д. 29",1956,муниципальный округ Богородское
"ул. Миллионная, д. 12",1956,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 24",1956,муниципальный округ Богородское
"ул. Ивантеевская, д. 11",1957,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 4А, к. 1",1957,муниципальный округ Богородское
"ул. Ивантеевская, д. 17, к. 2",1957,муниципальный округ Богородское
"ул. Ивантеевская, д. 3, к. 2",1957,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 39, к. 6",1958,муниципальный округ Богородское
"пер. Алымов, д. 13",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 17, к. 2",1958,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 39, к. 4",1958,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 39, к. 2",1958,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 43, к. 4",1958,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 18",1958,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 18Б",1958,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 43, к. 6",1958,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 4А, к. 10",1958,муниципальный округ Богородское
"ул. Ивантеевская, д. 19",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 22, к. 1",1958,муниципальный округ Богородское
"ул. Ивантеевская, д. 2а",1958,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 39, к. 3",1958,муниципальный округ Богородское
"аллея. Яузская, д. 6",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 4/37, к. 4",1958,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 16а",1958,муниципальный округ Богородское
"ул. Ивантеевская, д. 1, к. 2",1958,муниципальный округ Богородское
"ул. Ивантеевская, д. 23",1958,муниципальный округ Богородское
"проезд. Погонный, д. 1, к. 1",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 4/37, к. 3",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 22, к. 5",1958,муниципальный округ Богородское
"ул. Миллионная, д. 10",1958,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 16",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 24, к. 4",1958,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 4А, к. 2",1958,муниципальный округ Богородское
"ул. Ивантеевская, д. 17, к. 1",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 22, к. 2",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 24, к. 1",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 15",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 4/37, к. 5",1958,муниципальный округ Богородское
